fips, med-income ,owner-occ,pop-tot,dem-fem-pct,dem-male-pct,dem-white-pct,dem-baa-pct,dem-aian-pct,dem-a-pct,dem-nhpi-pct,dem-two-pct,dem-hl-pct,dem-vet,dem-hh
13001,"$37,135 ",71.10%,18428,50.10%,49.90%,69.50%,19.40%,0.60%,0.90%,0.20%,1.20%,9.60%,1053,8381
13003,"$30,933 ",72.00%,8273,49.90%,50.10%,56.20%,17.50%,1.40%,0.90%,1.10%,2.10%,25.20%,385,3429
13005,"$37,162 ",68.60%,11372,50.70%,49.30%,73.10%,16.60%,0.30%,0.60%,0.20%,1.60%,8.70%,559,4715
13007,"$44,297 ",73.60%,3150,51.40%,48.60%,47.00%,45.90%,0.40%,1.10%,0.10%,1.10%,5.60%,178,1620
13009,"$32,460 ",53.80%,45144,49.40%,50.60%,52.60%,42.40%,0.30%,1.80%,0.10%,1.20%,2.20%,2911,20277
13011,"$41,427 ",75.50%,18397,49.00%,51.00%,87.80%,2.90%,0.50%,1.30%,0.20%,1.50%,6.70%,1321,7527
13013,"$52,012 ",72.80%,77126,50.90%,49.10%,72.70%,11.80%,0.50%,3.70%,0.10%,2.20%,10.30%,4697,27602
13015,"$48,893 ",64.30%,103807,50.70%,49.30%,78.10%,11.10%,0.60%,0.90%,0.10%,2.00%,8.50%,6928,40196
13017,"$29,994 ",61.00%,17243,52.10%,47.90%,56.50%,35.60%,0.70%,0.90%,0.10%,1.30%,6.10%,912,6413
13019,"$31,835 ",71.20%,18993,50.60%,49.40%,86.70%,10.60%,0.40%,1.10%,0.10%,1.20%,5.10%,1372,6958
13021,"$36,519 ",52.40%,152760,53.00%,47.00%,41.10%,55.00%,0.30%,2.00%,0.10%,1.50%,3.20%,10456,57111
13023,"$38,991 ",72.80%,12970,52.10%,47.90%,70.60%,26.80%,0.20%,1.20%,0.00%,1.20%,2.80%,803,4113
13025,"$37,206 ",79.90%,18355,50.60%,49.40%,92.40%,3.30%,0.40%,0.30%,0.00%,1.70%,2.10%,1225,6581
13027,"$32,663 ",69.20%,15687,50.90%,49.10%,56.90%,35.20%,0.40%,0.90%,0.20%,1.50%,5.90%,1607,6577
13029,"$63,327 ",68.30%,36230,50.70%,49.30%,73.90%,14.60%,0.50%,2.00%,0.20%,3.30%,7.10%,3525,11441
13031,"$36,032 ",49.60%,74722,50.80%,49.20%,63.80%,29.60%,0.40%,1.60%,0.10%,1.70%,3.70%,4096,26128
13033,"$33,641 ",70.60%,22688,52.10%,47.90%,47.40%,47.80%,0.40%,0.50%,0.10%,1.50%,3.10%,1497,8102
13035,"$41,667 ",71.70%,23817,46.80%,53.20%,66.90%,28.20%,0.30%,0.60%,0.00%,1.40%,3.20%,1511,7774
13037,"$25,513 ",65.50%,6324,39.60%,60.40%,32.30%,61.60%,0.60%,0.80%,0.30%,1.40%,4.70%,325,1836
13039,"$52,473 ",61.10%,53008,48.10%,51.90%,70.10%,19.30%,0.70%,1.40%,0.20%,3.00%,6.50%,7416,18638
13043,"$30,185 ",60.60%,10910,51.00%,49.00%,62.20%,24.80%,0.30%,1.10%,0.20%,1.30%,11.30%,872,3909
13045,"$43,586 ",62.80%,116261,51.10%,48.90%,71.10%,19.20%,0.60%,1.00%,0.10%,2.20%,6.90%,6948,40074
13047,"$50,876 ",75.00%,66398,51.50%,48.50%,91.00%,2.80%,0.40%,1.40%,0.10%,1.70%,2.90%,4519,23943
13049,"$42,778 ",78.80%,12497,41.20%,58.80%,62.60%,31.20%,0.70%,0.70%,0.00%,1.80%,3.70%,984,3524
13051,"$47,218 ",54.60%,289082,51.80%,48.20%,49.00%,40.50%,0.30%,2.90%,0.10%,2.20%,6.30%,24548,104912
13053,"$43,378 ",27.40%,10922,31.50%,68.50%,59.40%,20.20%,1.50%,3.00%,0.80%,3.60%,14.40%,785,2599
13055,"$32,913 ",66.30%,24824,49.00%,51.00%,82.80%,10.00%,0.40%,0.60%,0.30%,1.90%,5.00%,1491,9364
13057,"$68,926 ",77.40%,241689,50.70%,49.30%,79.80%,6.80%,0.50%,1.90%,0.10%,2.10%,10.00%,14603,79133
13059,"$33,116 ",38.50%,124707,52.30%,47.70%,61.30%,28.20%,0.40%,4.40%,0.10%,2.10%,10.80%,4696,44901
13061,"$22,120 ",64.10%,3020,52.60%,47.40%,36.70%,60.00%,0.40%,0.50%,0.00%,1.10%,1.50%,215,1160
13063,"$42,470 ",51.00%,"279,462",53.00%,47.00%,10.80%,71.00%,0.60%,5.30%,0.10%,2.30%,13.10%,"17,190","90,182"
13065,"$24,848 ",71.20%,"6,829",50.80%,49.20%,65.20%,27.40%,0.90%,0.30%,0.10%,1.80%,5.30%,412,"2,524"
13067,"$68,818 ",63.90%,"748,150",51.80%,48.20%,52.70%,28.10%,0.50%,5.30%,0.10%,2.50%,12.90%,"43,499","271,975"
13069,"$34,536 ",66.00%,"43,012",48.80%,51.20%,58.30%,28.20%,0.50%,1.00%,0.10%,1.30%,11.60%,"2,110","14,110"
13071,"$33,968 ",61.90%,"45,708",50.40%,49.60%,55.80%,23.40%,1.40%,0.90%,0.20%,1.10%,19.60%,"2,289","15,380"
13073,"$71,962 ",77.90%,"147,450",51.10%,48.90%,69.60%,17.30%,0.40%,4.30%,0.20%,3.10%,6.60%,"14,569","45,623"
13075,"$35,199 ",68.80%,"17,167",51.80%,48.20%,65.30%,26.90%,0.40%,0.80%,0.10%,1.20%,5.90%,"1,010","5,979"
13077,"$65,244 ",72.60%,"140,526",51.30%,48.70%,71.60%,18.10%,0.40%,2.00%,0.10%,2.00%,6.80%,"9,930","49,457"
13079,"$40,459 ",78.00%,"12,322",49.70%,50.30%,74.00%,20.80%,0.70%,0.80%,0.10%,1.30%,3.10%,952,"4,643"
13081,"$31,672 ",57.30%,"22,721",52.80%,47.20%,50.10%,44.50%,0.30%,1.20%,0.10%,1.10%,3.30%,"1,570","8,509"
13083,"$43,463 ",76.10%,"16,257",50.90%,49.10%,93.90%,1.20%,0.60%,1.00%,0.10%,1.20%,2.30%,"1,212","6,057"
13085,"$59,265 ",77.50%,"23,604",50.00%,50.00%,92.90%,0.80%,0.40%,0.60%,0.10%,1.60%,4.20%,"1,448","8,522"
13087,"$52,623 ",54.00%,"26,822",51.60%,48.40%,50.80%,42.20%,0.80%,0.60%,0.10%,1.20%,5.90%,"1,280","10,438"
13089,"$33,514 ",59.90%,"740,321",52.60%,47.40%,29.10%,55.30%,0.50%,6.40%,0.10%,2.10%,8.50%,"39,617","270,903"
13091,"$35,544 ",64.10%,"20,563",45.70%,54.30%,42.30%,49.80%,0.20%,0.80%,0.10%,1.00%,7.70%,"1,091","5,140"
13093,"$33,319 ",64.10%,"13,763",53.80%,46.20%,25.60%,70.20%,0.30%,0.90%,0.20%,1.20%,2.70%,"6,300","35,156"
13095,"$33,605 ",45.80%,"90,017",52.40%,47.60%,42.10%,45.90%,0.40%,1.70%,0.20%,2.50%,9.40%,"9,946","47,534"
13097,"$57,384 ",65.70%,"142,224",53.10%,46.90%,46.00%,50.20%,0.50%,0.70%,0,0.90%,2.20%,628,"4,023"
13099,"$28,599 ",64.50%,"10,339",49.40%,50.60%,62.30%,5.20%,2.80%,0.80%,0.20%,1.80%,29.60%,173,"1,423"
