fips,fed-total,fed-fin-incent-total,fed-fin-incent-corp-deprec,fed-fin-incent-corp-tax-credit,fed-fin-incent-corp-tax-deduction,fed-fin-incent-corp-tax-exemption,fed-fin-incent-grant-prog,fed-fin-incent-loan-prog,fed-fin-incent-pers-tax-credit,fed-fin-incent-pers-tax-exemption,fed-reg-policy,fed-reg-policy-appeq-eff-stand,fed-reg-policy-energy-stand-build,fed-reg-policy-gpp,fed-reg-policy-interconn,fed-tech-res,fed-tech-res-energy-analysis,fed-tech-res-training-info,state-total,state-fin-incent-total,state-fin-incent-grant-prog,state-fin-incent-loan-prog,state-fin-incent-other,state-fin-incent-PACE-fi,state-fin-incent-perf-based,state-fin-incent-rebate,state-fin-incent-sales-tax,state-reg-policy,state-reg-policy-build-energy-code,state-reg-policy-energy-stand-build,state-reg-policy-interconn,state-reg-policy-net-metering,state-reg-policy-solar-wind-access,state-tech-res,state-tech-res-energy-analysis,state-tech-res-other,state-tech-res-training-info
13001,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,9,2,2,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13003,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,9,2,2,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13005,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,9,2,2,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13007,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13009,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,21,12,2,2,1,1,1,4,1,4,1,,1,1,1,5,4,0,1
13011,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,21,11,2,1,1,1,0,5,1,4,1,,1,1,1,6,5,0,1
13013,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,23,13,2,2,1,1,0,6,1,4,1,,1,1,1,6,5,0,1
13015,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,21,10,2,1,1,1,0,4,1,4,1,,1,1,1,7,6,0,1
13017,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,9,2,2,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13019,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13021,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,24,14,2,2,1,1,1,6,1,4,1,,1,1,1,6,5,0,1
13023,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13025,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,19,9,2,2,1,1,0,2,1,4,1,,1,1,1,6,4,1,1
13027,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13029,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13031,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13033,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13035,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,19,10,2,1,1,1,0,4,1,4,1,,1,1,1,5,4,0,1
13037,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,19,10,2,1,1,1,0,4,1,4,1,,1,1,1,5,4,0,1
13039,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,8,2,1,1,1,0,2,1,4,1,,1,1,1,6,4,1,1
13043,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13045,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,20,10,2,1,1,1,0,4,1,4,1,,1,1,1,6,4,0,2
13047,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,24,14,2,2,1,1,2,5,1,4,1,,1,1,1,6,5,0,1
13049,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,8,2,1,1,1,0,2,1,4,1,,1,1,1,6,4,1,1
13051,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13053,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,8,2,1,1,1,0,2,1,4,1,,1,1,1,6,5,0,1
13055,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,23,13,2,2,1,1,2,4,1,4,1,,1,1,1,6,5,0,1
13057,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,21,10,2,1,1,1,0,4,1,4,1,,1,1,1,7,6,0,1
13059,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,24,13,2,2,1,1,0,6,1,4,1,,1,1,1,7,6,0,1
13061,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,19,10,2,1,1,1,0,4,1,4,1,,1,1,1,5,4,0,1
13063,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,22,13,2,2,1,1,0,6,1,4,1,,1,1,1,5,4,0,1
13065,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13067,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13069,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,20,11,2,1,1,1,0,5,1,4,1,,1,1,1,5,4,0,1
13071,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,9,2,2,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13073,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13075,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13077,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13079,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,22,13,2,2,1,1,0,6,1,4,1,,1,1,1,5,4,0,1
13081,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,8,2,1,1,1,0,2,1,4,1,,1,1,1,6,5,0,1
13083,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13085,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,20,11,2,1,1,1,2,3,1,4,1,,1,1,1,5,4,0,1
13087,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,21,10,2,1,1,1,0,4,1,4,1,,1,1,1,7,6,0,1
13089,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13091,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,21,10,2,2,1,1,0,3,1,6,1,2,1,1,1,5,4,0,1
13093,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13095,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,18,8,2,1,1,1,0,2,1,4,1,,1,1,1,6,5,0,1
13097,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13099,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,19,10,2,1,1,1,0,4,1,4,1,,1,1,1,5,4,0,1
13101,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13103,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13105,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13107,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13109,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13111,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,17,8,2,1,1,1,0,2,1,4,1,,1,1,1,5,4,0,1
13113,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,24,15,2,2,1,1,3,5,1,4,1,,1,1,1,5,4,0,1
13115,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,24,15,2,2,1,1,0,8,1,4,1,,1,1,1,5,4,0,1
13117,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,24,13,2,2,1,1,2,4,1,4,1,,1,1,1,7,5,0,2
13119,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,21,10,2,1,1,1,0,4,1,4,1,,1,1,1,7,6,0,1
13121,41,24,1,2,1,2,7,8,2,1,4,1,1,1,1,13,9,4,21,11,2,1,1,1,0,5,1,4,1,,1,1,1,6,5,0,1
