sea-install-id,oiriginal-db,zip,fips,town,state,system-type,sector,install-date,utility,federal-cong-dist,state-senate-dist,state-house-dist,lat,long
southface_SSM19,Southface,31518,13001,Bristol,Georgia,Solar Electric,Residential,2/3/15,Georgia Power Company,12,19,178,31.531814,-82.163065
southface_HS05,Southface,31513,13001,Baxley,Georgia,Solar Electric,Non-Residential,12/3/13,,,,,31.7772472,-82.3443354
southface_HS40,Southface,31513,13001,Baxley,Georgia,Solar Electric,Non-Residential,12/2/13,,,,,31.7695426,-82.3223984
southface_CS18,Southface,31513,13001,Baxley,Georgia,Solar Electric,Non-Residential,8/1/15,,,,,31.8428817,-82.3404167
southface_HS201,Southface,31513,13001,Baxley,Georgia,Solar Electric,Utility,3/1/17,,,,,31.7374005,-82.3618766
southface_HS62,Southface,31650,13003,Willacoochee,Georgia,Solar Electric,Utility,12/1/14,Georgia Power Company,8,7,176,31.3205419,-83.0456663
southface_GPC-24806,Southface,31642,13003,Pearson,Georgia,Solar Electric,Utility,5/30/16,Georgia Power Company,8,7,176,31.20285344,-82.79757531
southface_GPC-24711,Southface,31642,13003,Pearson,Georgia,Solar Electric,Utility,5/30/16,Georgia Power Company,8,7,176,31.19185061,-82.79524716
southface_GPC-24237,Southface,31642,13003,Pearson,Georgia,Solar Electric,Utility,5/30/16,Georgia Power Company,8,7,176,31.18806287,-82.79412465
southface_UR02,Southface,31650,13003,Willacoochee,Georgia,Solar Electric,Non-Residential,8/1/14,,,,,31.347129,-83.058265
southface_UR03,Southface,31650,13003,Willacoochee,Georgia,Solar Electric,Non-Residential,7/21/14,,,,,31.347129,-83.058265
southface_HS182,Southface,31650,13003,Willacoochee,Georgia,Solar Electric,Utility,5/12/16,,,,,31.319279,-83.038848
southface_HS100,Southface,31650,13003,Willacoochee,Georgia,Solar Electric,Utility,5/1/15,,,,,31.3205419,-83.0456663
southface_AS09,Southface,31642,13003,Pearson,Georgia,Solar Electric,Residential,1/1/12,,,,,31.3042105,-82.8649762
southface_SA02,Southface,31554,13005,Nicholls,Georgia,Solar Electric,Utility,10/21/14,Georgia Power Company,1,7,169,31.5348693,-82.5863288
southface_GPC-24940,Southface,31510,13005,Alma,Georgia,Solar Electric,Non-Residential,8/1/16,Georgia Power Company,1,7,169,31.54757568,-82.52113478
southface_GPC-24068,Southface,31510,13005,Alma,Georgia,Solar Electric,Non-Residential,7/28/16,Georgia Power Company,1,7,169,31.55037876,-82.516398
southface_HS01,Southface,31510,13005,Alma,Georgia,Solar Electric,Non-Residential,6/1/13,,,,,31.553117,-82.4827821
southface_RS1049,Southface,31510,13005,Alma,Georgia,Solar Electric,Utility,9/9/16,,,,,31.541443,-82.442274
southface_HS90,Southface,39870,13007,Newton,Georgia,Solar Electric,Non-Residential,12/1/14,,,,,31.3691072,-84.3739562
southface_S332,Southface,31061,13009,Milledgeville,Georgia,Solar Hot Water,Residential,8/26/09,Georgia Power Company,10,25,145,33.166871,-83.352791
southface_M420,Southface,31061,13009,Milledgeville,Georgia,Solar Electric,Residential,12/21/11,,10,25,145,33.028534,-83.334362
southface_SF78,Southface,31061,13009,Milledgeville,Georgia,Solar Electric,Non-Residential,2/28/13,,,,,33.1642302,-83.2793612
southface_M170,Southface,31061,13009,Milledgeville,Georgia,Solar Electric,Residential,1/5/09,,,,,33.089427,-83.403309
southface_M468,Southface,31061,13009,Milledgeville,Georgia,Solar Electric,Residential,4/11/12,,,,,33.166871,-83.352791
southface_M939,Southface,31061,13009,Milledgeville,Georgia,Solar Electric,Residential,9/26/12,,,,,33.0211053,-83.2243282
southface_IS25,Southface,31061,13009,Milledgeville,Georgia,Solar Electric,Utility,9/15/16,,,,,33.0899543,-83.2917856
southface_GPC-22821,Southface,31061,13009,Milledgeville,Georgia,Solar Electric,Non-Residential,9/8/16,,,,,33.088894,-83.29058
southface_SA18,Southface,31061,13009,Milledgeville,Georgia,Solar Electric,Utility,6/21/17,,,,,33.040323,-83.245866
southface_SA17,Southface,31061,13009,Milledgeville,Georgia,Solar Electric,Utility,5/18/17,,,,,33.024461,-83.227656
southface_M49,Southface,30510,13011,Lula,Georgia,Solar Hot Water,Residential,9/10/10,Georgia Power Company,9,50,28,34.409232,-83.572015
southface_S231,Southface,30530,13011,Commerce,Georgia,Solar Hot Water,Residential,2009,Jackson EMC,9,50,28,34.236969,-83.394848
southface_S314,Southface,30510,13011,Alto,Georgia,Solar Hot Water,Residential,8/8/09,Georgia Power Company,9,50,28,34.409232,-83.572015
southface_CS14,Southface,30547,13011,Homer,Georgia,Solar Electric,Non-Residential,2/10/16,Georgia Power Company,9,50,28,34.2972308,-83.4796517
southface_M291,Southface,30558,13011,Commerce,Georgia,Solar Electric,Residential,3/25/11,,9,50,28,34.265297,-83.531291
southface_RS39,Southface,30547,13011,Homer,Georgia,Solar Electric,Residential,5/4/15,,,,,34.404452,-83.426184
southface_M285,Southface,30547,13011,Commerce,Georgia,Solar Electric,Residential,3/6/11,,,,,34.386559,-83.447427
southface_AES091,Southface,30530,13011,Commerce,Georgia,Solar Electric,Residential,11/14/16,,,,,34.2730623,-83.4035493
southface_GPC-10941,Southface,30529,13011,Commerce,Georgia,Solar Electric,Utility,4/21/15,,,,,34.312353,-83.470502
southface_CS20b,Southface,30547,13011,Homer,Georgia,Solar Electric,Utility,2/12/15,,,,,34.2972308,-83.4796517
southface_M117,Southface,30620,13013,Winder,Georgia,Solar Hot Water,Residential,5/26/11,Jackson EMC,10,47,114,33.928396,-83.738278
southface_M72,Southface,30680,13013,Winder,Georgia,Solar Hot Water,Residential,11/30/10,Jackson EMC,10,47,116,33.993767,-83.709646
southface_S275,Southface,30680,13013,Winder,Georgia,Solar Electric,Residential,4/20/10,,10,47,116,34.038987,-83.688194
southface_M498,Southface,30680,13013,Winder,Georgia,Solar Electric,Non-Residential,6/18/10,,10,47,116,33.988194,-83.760546
southface_M499,Southface,30680,13013,Winder,Georgia,Solar Electric,Non-Residential,12/15/10,,10,47,116,33.988194,-83.760546
southface_M251,Southface,30680,13013,Winder,Georgia,Solar Electric,Residential,12/20/10,,,,,33.993767,-83.709646
southface_M370,Southface,30680,13013,Winder,Georgia,Solar Electric,Residential,10/27/11,,,,,34.010844,-83.700743
southface_M955,Southface,30620,13013,Winder,Georgia,Solar Electric,Residential,10/31/12,,,,,33.946987,-83.766115
southface_HS172,Southface,30680,13013,Winder,Georgia,Solar Electric,Non-Residential,12/1/15,,,,,33.9755543,-83.7420418
southface_RS55,Southface,30680,13013,Winder,Georgia,Solar Electric,Utility,1/5/15,,,,,33.961982,-83.753128
southface_HS94,Southface,30680,13013,Winder,Georgia,Solar Electric,Non-Residential,6/1/15,,,,,33.98271,-83.670313
southface_HS164,Southface,30680,13013,Winder,Georgia,Solar Electric,Residential,12/1/15,,,,,33.9753357,-83.7419589
southface_AES109,Southface,30680,13013,Winder,Georgia,Solar Electric,Non-Residential,1/1/17,,,,,33.984146,-83.723962
southface_M108,Southface,30103,13015,Adairsville,Georgia,Solar Hot Water,Residential,5/6/11,Georgia Power Company,11,14,14,34.329409,-84.936121
