zip,locale,nbld,pct-suitable
30002,Suburb Large,1607,0.634723086
30004,Suburb Large,13273,0.820359205
30005,Suburb Large,8411,0.841821933
30008,Suburb Large,5849,0.819148358
30009,Suburb Large,3358,0.824697635
30011,Rural Fringe,5101,0.841874648
30012,Suburb Large,6741,0.846136677
30013,Suburb Large,5542,0.842827001
30014,Suburb Large,10728,0.858689215
30016,Suburb Large,18213,0.85018659
30017,Suburb Large,5827,0.835830362
30019,Suburb Large,11651,0.849228935
30021,Suburb Large,2162,0.634597595
30022,Suburb Large,15583,0.835195663
30024,Suburb Large,19854,0.834305462
30025,Rural Fringe,3319,0.846798993
30028,Rural Fringe,10094,0.823229876
30030,Suburb Large,7433,0.520247545
30032,Suburb Large,13515,0.547539771
30033,Suburb Large,7834,0.501659433
30034,Suburb Large,12981,0.728372236
30035,Suburb Large,5771,0.694853578
30038,Suburb Large,10032,0.832226348
30039,Suburb Large,14099,0.826411597
30040,Rural Fringe,16382,0.811734738
30041,Rural Fringe,11485,0.803609972
30043,Suburb Large,20152,0.834204687
30044,Suburb Large,20486,0.823477284
30045,Suburb Large,9888,0.837658208
30046,Suburb Large,8599,0.839544874
30047,Suburb Large,17335,0.810750468
30052,Rural Fringe,19872,0.837438126
30054,Suburb Large,3578,0.854783514
30055,Suburb Large,1734,0.867480277
30056,Rural Fringe,777,0.858889515
30058,Suburb Large,14958,0.841660966
30060,Suburb Large,7706,0.839278827
30062,Suburb Large,18449,0.797221695
30063,Suburb Large,556,0.852082417
30064,Suburb Large,13575,0.815060326
30066,Suburb Large,17089,0.805233738
30067,Suburb Large,7625,0.668852459
30068,Suburb Large,9628,0.797929568
30069,Suburb Large,5,0.4
30070,Suburb Large,NA,0.916626287
30071,Suburb Large,5602,0.859266957
30072,Suburb Large,112,0.267857143
30075,Suburb Large,15874,0.808622728
30076,Suburb Large,9278,0.817624267
30078,Suburb Large,9488,0.827708291
30079,Suburb Large,991,0.606458123
30080,Suburb Large,10217,0.71371244
30082,Suburb Large,7751,0.72016514
30083,Suburb Large,11791,0.814222293
30084,Suburb Large,9226,0.625948407
30087,Suburb Large,9656,0.805364814
30088,Suburb Large,7433,0.549441679
30090,City Small,NA,0.535748925
30092,Suburb Large,6141,0.839585214
30093,Suburb Large,8041,0.84594016
30094,Suburb Large,10562,0.834573943
30096,Suburb Large,11392,0.83624271
30097,Suburb Large,11980,0.840535343
30099,Suburb Large,0,0.671812844
30101,Suburb Large,16141,0.821833
30102,Suburb Large,9633,0.812260871
30103,Rural Fringe,4597,0.831792293
30104,Town Fringe,1489,0.83079904
30105,Rural Fringe,910,0.828789689
30106,Suburb Large,6015,0.831946552
30107,Suburb Large,4930,0.833419093
30108,Rural Fringe,2837,0.851412489
30110,Rural Fringe,3447,0.834445756
30113,Rural Fringe,2121,0.840476463
30114,Suburb Large,12689,0.825541812
30115,Suburb Large,12289,0.832761922
30116,Rural Fringe,8791,0.842054688
30117,Rural Fringe,8521,0.845925881
30118,Town Fringe,0,0.788457754
30120,Rural Fringe,9780,0.832673992
30121,Rural Fringe,5492,0.813915903
30122,Suburb Large,5226,0.836033332
30124,Rural Fringe,825,0.83536411
30125,Town Fringe,6460,0.823416786
30126,Suburb Large,12550,0.718087649
