utility-id,name,ownership
sea-util-1,Albany Water Gas & Light Comm,Municipal
sea-util-2,Altamaha Electric Member Corp,Cooperative
sea-util-3,Amicalola Electric Member Corp,Cooperative
sea-util-4,Blue Ridge Mountain EMC - (GA),Cooperative
sea-util-5,Canoochee Electric Member Corp,Cooperative
sea-util-6,Carroll Electric Member Corp - (GA),Cooperative
sea-util-7,Central Georgia El Member Corp,Cooperative
sea-util-8,City of Acworth - (GA),Municipal
sea-util-9,City of Adel- (GA),Municipal
sea-util-10,City of Buford,Municipal
sea-util-11,City of Cairo - (GA),Municipal
sea-util-12,City of Calhoun - (GA),Municipal
sea-util-13,City of Camilla,Municipal
sea-util-14,City of Cartersville - (GA),Municipal
sea-util-15,City of Chattanooga - (TN),Municipal
sea-util-16,City of Chickamauga,Municipal
sea-util-17,City of College Park - (GA),Municipal
sea-util-18,City of Covington - (GA),Municipal
sea-util-19,City of Douglas,Municipal
sea-util-20,City of East Point - (GA),Municipal
sea-util-21,City of Elberton,Municipal
sea-util-22,City of Griffin - (GA),Municipal
sea-util-23,City of La Grange - (GA),Municipal
sea-util-24,City of Lawrenceville - (GA),Municipal
sea-util-25,City of Marietta - (GA),Municipal
sea-util-26,City of Monroe - (GA),Municipal
sea-util-27,City of Moultrie - (GA),Municipal
sea-util-28,City of Norcross- (GA),Municipal
sea-util-29,City of Sylvania - (GA),Municipal
sea-util-30,City of Thomaston - (GA),Municipal
sea-util-31,City of Thomasville - (GA),Municipal
sea-util-32,City of Washington - (GA),Municipal
sea-util-33,Coastal Electric Member Corp,Cooperative
sea-util-34,Cobb Electric Membership Corp,Cooperative
sea-util-35,Colquitt Electric Membership Corp,Cooperative
sea-util-36,Coweta-Fayette El Member Corp,Cooperative
sea-util-37,Crisp County Power Comm,Political Subdivision
sea-util-38,Dalton Utilities,Municipal
sea-util-39,Diverse Power Incorporated,Cooperative
sea-util-40,Excelsior Electric Member Corp,Cooperative
sea-util-41,Fitzgerald Wtr Lgt & Bond Comm,Municipal
sea-util-42,Flint Electric Membership Corp,Cooperative
sea-util-43,Fort Valley Utility Comm,Municipal
sea-util-44,Georgia Power Co,Investor Owned
sea-util-45,Grady Electric Membership Corp,Cooperative
sea-util-46,GreyStone Power Corporation,Cooperative
sea-util-47,Habersham Electric Membership Corp,Cooperative
sea-util-48,Hart Electric Member Corp,Cooperative
sea-util-49,Haywood Electric Member Corp,Cooperative
sea-util-50,Irwin Electric Membership Corp,Cooperative
sea-util-51,Jackson Electric Member Corp - (GA),Cooperative
sea-util-52,Jefferson Electric Member Corp,Cooperative
sea-util-53,Little Ocmulgee El Member Corp,Cooperative
sea-util-54,Middle Georgia El Member Corp,Cooperative
sea-util-55,Mitchell Electric Member Corp,Cooperative
sea-util-56,"Newnan Wtr, Sewer & Light Comm",Municipal
sea-util-57,North Georgia Elec Member Corp,Cooperative
sea-util-58,Ocmulgee Electric Member Corp,Cooperative
sea-util-59,Oconee Electric Member Corp,Cooperative
sea-util-60,Okefenoke Rural El Member Corp,Cooperative
sea-util-61,Planters Electric Member Corp,Cooperative
sea-util-62,Rayle Electric Membership Corp,Cooperative
sea-util-63,Satilla Rural Elec Member Corporation,Cooperative
sea-util-64,Sawnee Electric Membership Corporation,Cooperative
sea-util-65,Slash Pine Elec Member Corp,Cooperative
sea-util-66,Snapping Shoals El Member Corp,Cooperative
sea-util-67,Southern Rivers Energy,Cooperative
sea-util-68,Sumter Electric Member Corp,Cooperative
sea-util-69,Three Notch Elec Member Corp,Cooperative
sea-util-70,Tri-County Elec Member Corp,Cooperative
sea-util-71,Tri-State Electric Member Corp,Cooperative
sea-util-72,Upson Elec Member Corp,Cooperative
sea-util-73,Walton Electric Member Corp,Cooperative
sea-util-74,Washington Elec Member Corp,Cooperative
