sea-rate-id,year,zip,utility-id,service-type,comm-rate,ind-rate,res-rate
sea-util-1-rate-31702,2015,31702,sea-util-1,Bundled,0.105766079,0,0.108669128
sea-util-1-rate-31703,2015,31703,sea-util-1,Bundled,0.105766079,0,0.108669128
sea-util-1-rate-31706,2015,31706,sea-util-1,Bundled,0.105766079,0,0.108669128
sea-util-1-rate-31705,2015,31705,sea-util-1,Bundled,0.105766079,0,0.108669128
sea-util-1-rate-31701,2015,31701,sea-util-1,Bundled,0.105766079,0,0.108669128
sea-util-1-rate-31707,2015,31707,sea-util-1,Bundled,0.105766079,0,0.108669128
sea-util-2-rate-31513,2015,31513,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30401,2015,30401,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-31549,2015,31549,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30473,2015,30473,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30471,2015,30471,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30470,2015,30470,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30474,2015,30474,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-31002,2015,31002,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30428,2015,30428,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30410,2015,30410,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-31021,2015,31021,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-31027,2015,31027,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30448,2015,30448,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30447,2015,30447,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30445,2015,30445,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30441,2015,30441,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-31539,2015,31539,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30439,2015,30439,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30436,2015,30436,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-31096,2015,31096,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-31563,2015,31563,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30454,2015,30454,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30457,2015,30457,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-2-rate-30453,2015,30453,sea-util-2,Bundled,0.120223829,0.075620668,0.136308985
sea-util-3-rate-30564,2015,30564,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30734,2015,30734,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30139,2015,30139,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30028,2015,30028,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30536,2015,30536,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30534,2015,30534,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30533,2015,30533,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30705,2015,30705,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30148,2015,30148,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30143,2015,30143,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30545,2015,30545,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30541,2015,30541,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30540,2015,30540,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30114,2015,30114,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30115,2015,30115,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30512,2015,30512,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30513,2015,30513,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30121,2015,30121,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30528,2015,30528,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30522,2015,30522,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30177,2015,30177,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30175,2015,30175,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30171,2015,30171,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30184,2015,30184,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30183,2015,30183,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30189,2015,30189,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30572,2015,30572,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30107,2015,30107,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30102,2015,30102,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30711,2015,30711,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30151,2015,30151,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-3-rate-30555,2015,30555,sea-util-3,Bundled,0.122312951,0,0.111830696
sea-util-4-rate-30560,2015,30560,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30536,2015,30536,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30537,2015,30537,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30533,2015,30533,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30546,2015,30546,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30545,2015,30545,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30514,2015,30514,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30512,2015,30512,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30513,2015,30513,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30528,2015,30528,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30525,2015,30525,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30523,2015,30523,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30572,2015,30572,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30582,2015,30582,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-4-rate-30559,2015,30559,sea-util-4,Bundled,0.132181207,0,0.12671675
sea-util-5-rate-31302,2015,31302,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31308,2015,31308,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31309,2015,31309,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31545,2015,31545,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31324,2015,31324,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31321,2015,31321,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-30420,2015,30420,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-30421,2015,30421,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-30427,2015,30427,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31315,2015,31315,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31314,2015,31314,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31316,2015,31316,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31313,2015,31313,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-30417,2015,30417,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31555,2015,31555,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-30439,2015,30439,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-30436,2015,30436,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31563,2015,31563,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-30453,2015,30453,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-5-rate-31419,2015,31419,sea-util-5,Bundled,0.112581015,0.096919608,0.125897966
sea-util-6-rate-30153,2015,30153,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30132,2015,30132,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30180,2015,30180,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30140,2015,30140,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30110,2015,30110,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30112,2015,30112,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30113,2015,30113,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30116,2015,30116,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30117,2015,30117,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30125,2015,30125,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30170,2015,30170,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30230,2015,30230,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30179,2015,30179,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30176,2015,30176,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30263,2015,30263,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30187,2015,30187,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30185,2015,30185,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30182,2015,30182,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30109,2015,30109,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30108,2015,30108,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30219,2015,30219,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30217,2015,30217,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30157,2015,30157,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-6-rate-30240,2015,30240,sea-util-6,Bundled,0.116381923,0.063718168,0.122587114
sea-util-7-rate-31064,2015,31064,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30276,2015,30276,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30284,2015,30284,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31033,2015,31033,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31038,2015,31038,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30228,2015,30228,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30224,2015,30224,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30223,2015,30223,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30650,2015,30650,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31085,2015,31085,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30014,2015,30014,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30016,2015,30016,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30257,2015,30257,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30253,2015,30253,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30204,2015,30204,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30205,2015,30205,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30206,2015,30206,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31210,2015,31210,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31211,2015,31211,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31029,2015,31029,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31024,2015,31024,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30234,2015,30234,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30233,2015,30233,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30625,2015,30625,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31086,2015,31086,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31220,2015,31220,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30663,2015,30663,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30292,2015,30292,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30295,2015,30295,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-31046,2015,31046,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30055,2015,30055,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30056,2015,30056,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30216,2015,30216,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30215,2015,30215,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-7-rate-30248,2015,30248,sea-util-7,Bundled,0.092613056,0.061486853,0.093732513
sea-util-8-rate-30102,2015,30102,sea-util-8,Bundled,0.132485828,0,0.145841936
sea-util-8-rate-30101,2015,30101,sea-util-8,Bundled,0.132485828,0,0.145841936
sea-util-9-rate-31647,2015,31647,sea-util-9,Bundled,0.143888789,0.089828167,0.140067662
sea-util-9-rate-31620,2015,31620,sea-util-9,Bundled,0.143888789,0.089828167,0.140067662
