sea-zip-id,zip,fips,year
zip-2018-1,31557,13001,2018
zip-2018-2,31513,13001,2018
zip-2018-3,31518,13001,2018
zip-2018-4,31539,13001,2018
zip-2018-5,31560,13001,2018
zip-2018-6,31563,13001,2018
zip-2018-7,31555,13001,2018
zip-2018-8,30233,13001,2018
zip-2018-9,31510,13001,2018
zip-2018-10,31552,13003,2018
zip-2018-11,31624,13003,2018
zip-2018-12,31642,13003,2018
zip-2018-13,31650,13003,2018
zip-2018-14,31635,13003,2018
zip-2018-15,31551,13005,2018
zip-2018-16,31513,13005,2018
zip-2018-17,31518,13005,2018
zip-2018-18,31554,13005,2018
zip-2018-19,31510,13005,2018
zip-2018-20,39841,13007,2018
zip-2018-21,31721,13007,2018
zip-2018-22,39862,13007,2018
zip-2018-23,39870,13007,2018
zip-2018-24,39813,13007,2018
zip-2018-25,39837,13007,2018
zip-2018-26,31033,13009,2018
zip-2018-27,31031,13009,2018
zip-2018-28,31059,13009,2018
zip-2018-29,31062,13009,2018
zip-2018-30,31034,13009,2018
zip-2018-31,31061,13009,2018
zip-2018-32,31082,13009,2018
zip-2018-33,31087,13009,2018
zip-2018-34,30511,13011,2018
zip-2018-35,30510,13011,2018
zip-2018-36,30529,13011,2018
zip-2018-37,30558,13011,2018
zip-2018-38,30633,13011,2018
zip-2018-39,30543,13011,2018
zip-2018-40,30521,13011,2018
zip-2018-41,30547,13011,2018
zip-2018-42,30577,13011,2018
zip-2018-43,30530,13011,2018
zip-2018-44,30554,13011,2018
zip-2018-45,30548,13013,2018
zip-2018-46,30620,13013,2018
zip-2018-47,30011,13013,2018
zip-2018-48,30622,13013,2018
zip-2018-49,30656,13013,2018
zip-2018-50,30517,13013,2018
zip-2018-51,30680,13013,2018
zip-2018-52,30666,13013,2018
zip-2018-53,30123,13015,2018
zip-2018-54,30137,13015,2018
zip-2018-55,30178,13015,2018
zip-2018-56,30171,13015,2018
zip-2018-57,30102,13015,2018
zip-2018-58,30103,13015,2018
zip-2018-59,30184,13015,2018
zip-2018-60,30101,13015,2018
zip-2018-61,30104,13015,2018
zip-2018-62,30139,13015,2018
zip-2018-63,30161,13015,2018
zip-2018-64,30145,13015,2018
zip-2018-65,30183,13015,2018
zip-2018-66,30120,13015,2018
zip-2018-67,30121,13015,2018
zip-2018-68,31001,13017,2018
zip-2018-69,31798,13017,2018
zip-2018-70,31079,13017,2018
zip-2018-71,31750,13017,2018
zip-2018-72,31783,13017,2018
zip-2018-73,31622,13019,2018
zip-2018-74,31774,13019,2018
zip-2018-75,31637,13019,2018
zip-2018-76,31645,13019,2018
zip-2018-77,31635,13019,2018
zip-2018-78,31639,13019,2018
zip-2018-79,31749,13019,2018
zip-2018-80,31794,13019,2018
zip-2018-81,31211,13021,2018
zip-2018-82,31203,13021,2018
zip-2018-83,31213,13021,2018
zip-2018-84,31208,13021,2018
zip-2018-85,31201,13021,2018
zip-2018-86,31216,13021,2018
zip-2018-87,31220,13021,2018
zip-2018-88,31207,13021,2018
zip-2018-89,31206,13021,2018
zip-2018-90,31205,13021,2018
zip-2018-91,31209,13021,2018
zip-2018-92,31066,13021,2018
zip-2018-93,31204,13021,2018
zip-2018-94,31217,13021,2018
zip-2018-95,31020,13021,2018
zip-2018-96,31052,13021,2018
zip-2018-97,31221,13021,2018
zip-2018-98,31295,13021,2018
zip-2018-99,31210,13021,2018
zip-2018-100,31036,13023,2018
zip-2018-101,31022,13023,2018
